Custom Office,Reg Number,Importer,HS Code,FOB Value (N),CIF Value (N),Total Tax(N),Receipt Number,Receipt Date,Mass(KG),Country  of Origin,Country  of Supply,Nbr Of Containers,Container Nbr,Container Size
NT,C43243,11327,37200000,70924752,75928749,9206479,R50724,2021-06-05,32000,Lebanon,China,5,MEDU8509574,40HC
NT,C43243,11327,37200000,70924752,75928749,9206479,R50724,2021-06-05,32000,Lebanon,China,5,MSCU9710782,40HC
NT,C43244,51136,15110000,8143216,9008341,610513,R55523,2021-05-19,26000,China,China,1,MSKU9059751,45G1
NT,C43245,11327,37200000,350597378,360584490,43860807,R50725,2021-06-05,111888,Lebanon,Lebanon,6,CARU9896133,40HC
NT,C43245,11327,37200000,350597378,360584490,43860807,R50725,2021-06-05,111888,Lebanon,Lebanon,6,GLDU7391510,40HC
NT,C43245,11327,37200000,350597378,360584490,43860807,R50725,2021-06-05,111888,Lebanon,Lebanon,6,TGHU9262333,40HC
NT,C43245,11327,37200000,350597378,360584490,43860807,R50725,2021-06-05,111888,Lebanon,Lebanon,6,DFSU6451026,40HC
NT,C43245,11327,37200000,350597378,360584490,43860807,R50725,2021-06-05,111888,Lebanon,Lebanon,6,GATU8670266,40HC
NT,C43245,11327,37200000,350597378,360584490,43860807,R50725,2021-06-05,111888,Lebanon,Lebanon,6,MSCU9626687,40HC
NT,C43250,75536,28739000,501783,501783,146880,R52685,2021-12-05,1200,Italy,Italy,1,BMOU4155300,45G1
NT,C43256,96071,1100000,888100,1075250,130542,R51343,2021-10-05,10000,China,China,1,CRXU1918745,22G1
NT,C43257,46266,16791000,5862350,7526282,2169675,R50419,2021-06-05,16410,China,China,2,TCLU5873799,40HC
NT,C43257,46266,16791000,5862350,7526282,2169675,R50419,2021-06-05,16410,China,China,2,MSCU8872990,40HC
NT,C43268,33908,27199000,251790,251790,74269,R50355,2021-06-05,2000,United States,United States,1,FSCU6442293,40HC
NT,C43269,18603,27990000,151714,151714,45203,R50363,2021-06-05,1000,United States,United States,1,FSCU6467476,40HC
NT,C43269,18603,27990000,101676,101676,30670,R50363,2021-06-05,1000,United States,United States,1,FSCU6467476,40HC
NT,C43269,18603,27990000,101676,101676,30670,R50363,2021-06-05,700,United States,United States,1,FSCU6467476,40HC
NT,C43273,55235,1310000,6226209,9301502,1103803,R51327,2021-09-05,45735,United Kingdom,United Kingdom,3,DFSU6171920,40DV
NT,C43273,55235,1310000,6226209,9301502,1103803,R51327,2021-09-05,45735,United Kingdom,United Kingdom,3,CCLU7436955,40DV
NT,C43273,55235,1310000,6226209,9301502,1103803,R51327,2021-09-05,45735,United Kingdom,United Kingdom,3,CCLU7496018,40DV
NT,C43278,90259,35300000,2799000,3082680,374656,R52581,2021-12-05,503,China,China,2,INKU6329593,45G1
NT,C43278,90259,35300000,2799000,3082680,374656,R52581,2021-12-05,503,China,China,2,GESU6689083,45G1
NT,C43278,90259,41401000,5868260,6463200,92575,R52581,2021-12-05,17000,China,China,2,GESU6689083,45G1
NT,C43278,90259,41401000,5868260,6463200,92575,R52581,2021-12-05,17000,China,China,2,INKU6329593,45G1
NT,C4473,69048,2209099,1953279,3002304,356449,R12871,2021-01-29,1850,China,China,2,TEMU7470070,40GP
NT,C4473,69048,2209099,1953279,3002304,356449,R12871,2021-01-29,1850,China,China,2,TGHU6584737,40GP
NT,C43291,90259,44491000,7093600,10114807,1771642,R53706,2021-05-16,10000,China,China,3,CMAU4497836,45G1
NT,C43291,90259,44491000,7093600,10114807,1771642,R53706,2021-05-16,10000,China,China,3,TRLU7192242,45G1
NT,C43291,90259,44491000,7093600,10114807,1771642,R53706,2021-05-16,10000,China,China,3,CMAU4431314,45G1
NT,C43291,90259,41401000,5456530,7780251,95044,R53706,2021-05-16,67000,China,China,3,CMAU4431314,45G1
